gene_name	mean_length	median_length	max_length	gene_synonyms
SLC25A30-AS1	701.0	701.0	701	
PPIAP25	718.0	718.0	718	
COG3	4018.1666666666665	4344.5	4580	SEC34
ERICH6B	2473.3333333333335	2462.0	2534	FAM194B
RNA5SP27	119.0	119.0	119	RN5S27
TIMM9P3	760.0	760.0	760	
COX4I1P2	547.0	547.0	547	
LINC01055	706.0	706.0	706	
AKR1B1P4	1328.0	1328.0	1328	ALDRL4
CBY2	1902.75	1564.5	2976	NURIT,SPERT
SIAH3	7075.0	7075.0	7075	
LOC105370191	1255.5	1255.5	1629	
ZC3H13	7876.428571428572	8021.0	11327	KIAA0853,Xio
CPB2-AS1	3363.0	3363.0	3508	
CPB2	1736.3333333333333	1724.0	1830	CPU,PCPB,TAFI
LCP1	3659.0	3659.0	3675	CP64,HEL-S-37,L-PLASTIN,LC64P,LPL,PLS2
RN7SL288P	287.0	287.0	287	
LOC105370192	1353.5	1353.5	1901	
LOC107984578	2923.5	2923.5	3387	
LRRC63	2682.846153846154	2257.0	5781	
RN7SKP5	272.0	272.0	272	
ABITRAMP1	766.0	766.0	766	FAM206BP
LOC105370194	651.0	651.0	651	
LINC00563	1400.0	1400.0	1400	
RUBCNL	3775.0	3663.5	4240	C13orf18,KIAA0226L,PACER
RNU2-6P	187.0	187.0	187	
RNU6-68P	104.0	104.0	104	RNU6-68
PPP1R2P4	1459.0	1459.0	1459	
LINC01198	935.0	935.0	935	
LOC112268117	1122.0	1122.0	1122	
OR7E101P	610.0	610.0	610	
COX17P1	403.0	403.0	403	COX17P
FKBP1AP3	3431.0	3431.0	3431	FKBP12,FKBP1P3
LRCH1	4982.333333333333	4790.5	5569	CHDC1,NP81
LOC107984563	324.0	324.0	324	
ESD	1570.0	1346.5	2466	FGH
HTR2A	5072.0	5072.0	5442	5-HT2A,HTR2
HTR2A-AS1	369.0	369.0	441	
LOC107984594	329.0	329.0	329	
LOC105370195	680.0	680.0	680	
GNG5P5	527.0	527.0	527	
RN7SL700P	294.0	294.0	294	
LOC105370196	980.3333333333334	1035.0	1050	
NAP1L4P3	1014.0	1014.0	1014	
RPL27AP8	496.0	496.0	496	RPL27A_5_1310
LINC00444	3891.5	3891.5	5013	
LINC00562	2470.0	2470.0	2470	
SUCLA2	2164.0	2164.0	2164	A-BETA,A-SCS,MTDPS5,SCS-betaA
NUDT15	2177.0	2429.5	2928	MTH2,NUDT15D
MED4	2526.0	2254.0	3143	ARC36,DRIP36,HSPC126,TRAP36,VDRIP
MED4-AS1	544.0	544.0	544	MED4-AS
LOC105370198	3909.0	3909.0	4236	
POLR2KP2	598.0	598.0	598	
ITM2B	10089.0	10089.0	10089	ABRI,BRI,BRI2,BRICD2B,E25B,E3-16,FBD,imBRI2,RDGCA
RB1-DT	1184.0	1184.0	1184	LINC00441,ncRNA-RB1
RB1	4562.0	4562.0	4772	OSRC,p105-Rb,pp110,PPP1R130,pRb,RB
PPP1R26P1	3867.0	3867.0	3867	KIAA0649P1
PCNPP5	2197.0	2197.0	2197	
LOC112268118	181.0	181.0	181	
LPAR6	2072.6666666666665	2169.0	2969	ARWH1,HYPT8,LAH3,P2RY5,P2Y5
RCBTB2	2788.0	2975.5	3525	CHC1L,RLG
LOC105370201	907.0	907.0	907	
LINC00462	1023.0	1023.0	1023	
LOC105370202	653.0	653.0	702	
CYSLTR2	4715.0	4715.0	4892	CYSLT2,CYSLT2R,GPCR21,HG57,hGPCR21,HPN321,KPG_011,PSEC0146
PSME2P2	775.0	775.0	775	
LOC107984559	616.0	616.0	616	
FNDC3A	5958.888888888889	6138.0	6606	bA203I16.1,bA203I16.5,FNDC3,HUGO
RNU6-60P	106.0	106.0	106	RNU6-60
RAD17P2	2190.0	2190.0	2190	HRAD17P2
RNY3P2	98.0	98.0	98	
COX7CP1	396.0	396.0	396	
OGFOD1P1	2069.0	2069.0	2069	
MLNR	1239.0	1239.0	1239	GPR38,MTLR1
THAP12P10	1526.0	1526.0	1526	PRKRIRP10
LOC105370203	655.0	655.0	655	
CDADC1	3377.625	3355.0	4507	bA103J18.1,NYD-SP15
CAB39L	4071.5	3968.0	4873	bA103J18.3,MO25-BETA,MO2L
SETDB2-PHF11	3816.0	3816.0	3918	
SETDB2	6108.0	6203.0	6239	C13orf4,CLLD8,CLLL8,KMT1F
SNRPGP14	395.0	395.0	395	
PHF11	1401.75	1373.5	1626	APY,BCAP,IGEL,IGER,IGHER,NY-REN-34,NYREN34
RCBTB1	3534.1875	3946.0	6347	CLLD7,CLLL7,GLP,RDEOA
LOC105370204	1202.5	1202.5	1414	
ARL11	2790.5	2790.5	3552	ARLTS1
LOC105370205	1928.0	1928.0	2121	
EBPL	1004.5	1007.5	1097	EBRP
KPNA3	4189.5	4189.5	4222	hSRP1,IPOA4,SRP1,SRP1gamma,SRP4
RNY4P30	95.0	95.0	95	
CTAGE10P	2972.0	2972.0	2972	
RNY4P9	94.0	94.0	94	
SPRYD7	2831.2	3057.0	3347	C13orf1,CLLD6
DLEU2	1508.5714285714287	1290.0	3071	ALT1,BCMSUN,DLB2,LEU2,LINC00022,MIR15AHG,NCRNA00022,RFP2,RFP2OS,TRIM13OS
MIR3613	44.333333333333336	24.0	87	
TRIM13	6924.75	6862.0	7255	CAR,DLEU5,LEU5,RFP2,RNF77
KCNRG	1386.0	1386.0	1435	DLTET
MIR16-1	44.333333333333336	22.0	89	mir-16-1,MIRN16-1,miRNA16-1
MIR15A	42.333333333333336	22.0	83	hsa-mir-15a,mir-15a,MIRN15A,miRNA15A
DLEU1	2436.3333333333335	2904.0	2957	BCMS,BCMS1,DLB1,DLEU2,LEU1,LEU2,LINC00021,NCRNA00021,XTP6
RPL18P10	542.0	542.0	542	RPL18_6_1311
ST13P4	1599.0	1599.0	1599	FAM10A4,FAM10A4P
RPL34P26	434.0	434.0	434	RPL34_12_1312
DLEU1-AS1	731.0	731.0	731	LINC01308
LOC107984568	2911.0	2911.0	2911	
DLEU7	2876.6666666666665	2967.0	4295	
LOC107984567	9653.0	9653.0	9653	
DLEU7-AS1	1807.0	1807.0	1807	
RNA5SP28	119.0	119.0	119	RN5S28
RNASEH2B-AS1	625.0	625.0	625	
RNASEH2B	1901.5	1642.5	2985	AGS2,DLEU8
GUCY1B2	3022.0	3022.0	3022	GC-SB2
RNA5SP29	106.0	106.0	106	RN5S29
C13orf42	2285.5	2201.0	2707	LINC00371,LINC00372
RPL5P31	658.0	658.0	658	
LOC107984554	805.0	805.0	805	
PRELID3BP2	201.0	201.0	201	SLMO2P2
FAM124A	4345.4	4822.0	4926	
SERPINE3	7182.5	7182.5	12924	
MIR5693	47.5	47.5	73	
INTS6	7649.285714285715	6858.0	15451	DBI-1,DDX26,DDX26A,DICE1,HDB,INT6,Notchl2
INTS6-AS1	788.0	788.0	788	
RPS4XP16	876.0	876.0	876	RPS4P16,RPS4X_8_1313
RN7SL320P	295.0	295.0	295	
SNRPGP11	399.0	399.0	399	
MIR4703	41.333333333333336	23.0	79	
RNU6-65P	98.0	98.0	98	RNU6-65
WDFY2	7461.076923076923	8337.0	14451	PROF,WDF2,ZFYVE22
RNY1P6	109.0	109.0	109	
RN7SL413P	297.0	297.0	297	
ATP5PBP1	1021.0	1021.0	1021	ATP5F1P1
DHRS12	1524.6666666666667	1396.0	1977	SDR40C1
LOC107984561	1770.0	1770.0	2084	
TMEM272	4077.6666666666665	4070.0	4153	LINC00282,NCRNA00282
CCDC70	1206.5	1206.5	1251	
CTAGE3P	2877.0	2877.0	2877	CTAGE-3,CTAGE3
ATP7B	6795.538461538462	6547.0	9534	PWD,WC1,WD,WND
FABP5P2	659.0	659.0	659	FABP5L2
ALG11	5928.5	5928.5	6510	CDG1P,GT8
UTP14C	5529.0	5529.0	5529	2700066J21Rik,KIAA0266,UTP14B
NEK5	2759.7272727272725	2467.0	5971	
LOC101929657	3429.0	3429.0	3429	
NEK3	2271.5	2271.5	2415	HSPK36
MRPS31P5	2776.25	2621.5	3496	MRPS31P3
THSD1P1	613.0	613.0	613	THSD1P
TPTE2P2	2583.0	2583.0	2583	
LINC02333	839.0	839.0	839	
LOC105370207	591.0	591.0	591	
THSD1	2946.5	2946.5	3026	TMTSP,UNQ3010
RNY4P24	93.0	93.0	93	
VPS36	4476.666666666667	4425.0	4607	C13orf9,CGI-145,EAP45
CKAP2	3385.1666666666665	3628.5	3739	LB1,se20-10,TMAP
LINC00345	834.6666666666666	916.0	1175	
TPTE2P3	2613.0	2613.0	2613	TPTEps1
HNRNPA1L2	2251.5	2251.5	2322	
SUGT1	14227.888888888889	14234.0	14344	SGT1
CNMD	1415.8333333333333	1453.5	1457	BRICD3,CHM-I,CHM1,LECT1,MYETS1
MIR759	56.5	56.5	91	hsa-mir-759
PPIAP26	1068.0	1068.0	1068	
PCDH8	4942.5	4942.5	5088	ARCADLIN,PAPC
OLFM4	2843.0	2843.0	2843	bA209J19.1,GC1,GW112,hGC-1,hOLfD,OlfD,OLM4,UNQ362
LINC01065	565.0	565.0	565	
PCDH8P1	2260.0	2260.0	2260	
RN7SL618P	296.0	296.0	296	
ZNF646P1	1313.0	1313.0	1313	
LOC105370210	941.5	941.5	1586	
LINC00558	3163.0	3163.0	3163	
LINC00458	1032.0	1032.0	1039	ES3,LncRNA-ES3
MIR1297	47.0	47.0	77	hsa-mir-1297,mir-1297,MIRN1297
RPL13AP25	660.0	660.0	660	FWP004,RPL13A_11_1314,S863-4
LOC105370213	422.0	422.0	422	
MIR5007	46.333333333333336	22.0	95	
HNF4GP1	3962.0	3962.0	3962	
SPATA2P1	2570.0	2570.0	2570	
LOC105370214	517.0	534.0	612	
RN7SKP6	319.0	319.0	319	
PRR20A	1847.0	1847.0	1847	PRR20,PRR20B,PRR20C,PRR20D,PRR20E
PRR20B	1847.0	1847.0	1847	PRR20,PRR20A,PRR20C,PRR20D,PRR20E
PRR20C	1847.0	1847.0	1847	PRR20,PRR20A,PRR20B,PRR20D,PRR20E
PRR20D	1847.0	1847.0	1847	PRR20,PRR20A,PRR20B,PRR20C,PRR20E
PRR20E	1847.0	1847.0	1847	PRR20,PRR20A,PRR20B,PRR20C,PRR20D
PRR20FP	180.0	180.0	180	PRR20F
MTCO2P3	422.0	422.0	422	
LOC105370216	281.0	281.0	281	
SLC25A5P4	1752.0	1752.0	1752	
RPL31P53	354.0	354.0	354	RPL31_19_1315
LOC105370217	906.0	906.0	906	
PCDH17	7723.75	7785.5	9063	PCDH68,PCH68
TRE-CTC4-1	72.0	72.0	72	TRNAE39P
RNA5SP30	115.0	115.0	115	RN5S30
LINC02338	2753.0	2753.0	2753	
LINC00374	800.0	800.0	800	
RNY4P29	94.0	94.0	94	
CTAGE16P	2531.0	2531.0	2531	
LOC105370218	480.0	480.0	480	
LOC105370219	401.0	401.0	401	
LOC105370220	2628.5	2628.5	2654	
DNAJA1P1	1442.0	1442.0	1442	
HMGN2P39	504.0	504.0	504	
POLR3KP1	737.0	737.0	737	
LOC105370221	5032.666666666667	4882.0	5346	
LOC105370224	1841.0	2188.0	2463	
RPP40P2	351.0	351.0	351	
LOC105370223	289.0	289.0	289	
LOC105370222	897.0	897.0	897	
RNU7-88P	63.0	63.0	63	
LOC107984625	632.0	632.0	737	
DIAPH3	4947.1578947368425	4535.0	8610	AN,AUNA1,DIA2,diap3,DRF3,mDia2,NSDAN
DIAPH3-AS1	491.2	500.0	619	
RN7SL375P	298.0	298.0	298	
DIAPH3-AS2	367.0	367.0	367	DIPAH3-AS2
LOC105370227	752.0	752.0	752	
RNY4P28	93.0	93.0	93	
LINC00434	960.0	960.0	960	
TARDBPP2	6834.0	6834.0	6834	
LOC105370228	808.0	808.0	808	
TDRD3	2834.75	2979.5	3134	
RNA5SP31	127.0	127.0	127	RN5S31
LOC105370230	1067.0	1067.0	1067	
EIF4A1P6	1393.0	1393.0	1393	
LINC00378	519.0	519.0	519	
RNY3P5	302.0	302.0	302	
LINC01442	1619.0	1600.0	1743	
RNY4P31	88.0	88.0	88	
LOC102723910	2979.3333333333335	1947.0	5090	
MIR3169	52.5	52.5	83	
PCDH20	4778.0	4778.0	4778	PCDH13
LINC02339	752.0	752.0	752	
LOC105370231	459.0	459.0	459	
RAC1P8	527.0	527.0	527	
LINC00358	1276.0	1276.0	1276	
LINC01075	669.0	669.0	669	
LINC01074	555.0	555.0	555	
LINC00459	390.0	390.0	390	
RPL32P28	513.0	513.0	513	RPL32_18_1316
SQSTM1P1	859.0	859.0	859	
LOC105370232	434.0	434.0	434	
LINC00448	464.6666666666667	346.0	798	
LOC105370233	411.0	411.0	411	
LOC105370234	366.0	366.0	366	
LINC00376	693.0	693.0	693	
LOC105370237	550.0	550.0	550	
LOC105370236	2695.0	3169.0	4034	
LINC00395	415.0	415.0	415	
LOC105370235	558.0	558.0	558	
OR7E156P	2647.0	2647.0	2647	
LOC112267897	1687.0	1687.0	1687	
RNU6-81P	104.0	104.0	104	RNU6-81
PPP1R2P10	1555.0	1555.0	1555	
LOC102723968	1532.0	1532.0	1532	
LOC647264	693.0	693.0	693	
OR7E104P	746.0	746.0	746	
LOC105377815	491.0	491.0	491	
NFYAP1	644.0	644.0	644	NFYAP
LINC00355	1878.0	1878.0	1878	
LOC105370238	373.0	373.0	373	
LOC107987190	217.0	217.0	217	
LOC105370239	496.0	496.0	496	
LOC105370240	539.0	539.0	539	
LGMNP1	1958.0	1958.0	1958	LGMN2P
STARP1	31022.0	31022.0	31022	STARD1P1
HNRNPA3P5	848.0	848.0	848	
LOC105370241	566.0	566.0	566	
LINC01052	623.0	623.0	623	
LOC105370243	293.0	293.0	293	
LOC105370244	239.0	239.0	239	
MIR548X2	60.0	60.0	100	
LOC105370245	300.0	300.0	300	
MIR4704	39.666666666666664	22.0	75	
TRIM60P19	1366.0	1366.0	1366	
PCDH9	10271.4	6176.0	28118	
LOC105370247	2085.0	2183.0	2495	
RNU7-87P	62.0	62.0	62	
PCDH9-AS2	538.0	538.0	538	
PCDH9-AS3	522.0	522.0	522	
PCDH9-AS4	429.0	429.0	429	
LOC105370246	335.0	335.0	414	
RPSAP53	1026.0	1026.0	1026	RPSA_19_1317
LINC00364	629.0	629.0	629	LncRNA00364
LOC105370248	2049.5	2049.5	2140	
LOC105370249	1274.0	1274.0	2116	
LOC105370250	1376.0	1376.0	1376	
LOC107984622	276.0	276.0	276	
LOC105370251	1244.5	1244.5	1248	
BCRP9	388.0	388.0	388	
NPM1P22	1199.0	1199.0	1199	
OR7E111P	981.0	981.0	981	
OR7E33P	1208.0	1208.0	1208	hg688
LOC101927072	1345.0	1345.0	1345	
ELL2P3	1322.0	1322.0	1322	
HNRNPA1P18	369.0	369.0	369	
RPL37P21	282.0	282.0	282	RPL37_11_1318
RPS3AP52	304.0	304.0	304	
RPL12P34	477.0	477.0	477	RPL12_14_1319
RN7SL761P	278.0	278.0	278	
LINC00550	3434.0	3434.0	3434	
LOC105370254	424.0	424.0	434	
LINC02342	1204.5	1204.5	1218	
ZDHHC20P4	1669.0	1669.0	1669	
SNRPFP3	225.0	225.0	225	
LINC00383	1047.0	1047.0	1047	LINC00401
SRSF1P1	912.0	912.0	912	
KLHL1	3700.0	3812.0	4105	MRP2
RNY3P10	102.0	102.0	102	
PSMC1P13	1512.0	1512.0	1512	
NT5CP3	521.0	521.0	521	
LUC7L3P1	945.0	945.0	945	
ATXN8OS	1472.0	1472.0	1472	KLHL1AS,NCRNA00003,SCA8
RNU6-54P	80.0	80.0	80	RNU6-54
LOC105370255	557.0	557.0	557	
MTCL1P1	1952.0	1952.0	1952	CCDC165P1,SOGA2P1
LINC00348	948.0	948.0	948	
RABEPKP1	1008.0	1008.0	1008	
DACH1	4835.125	4708.0	6087	DACH
H3P36	405.0	405.0	405	H3F3BP1,p46
RPL21P109	554.0	554.0	554	RPL21_49_1320
RPL35AP31	433.0	433.0	433	RPL35A_18_1321
RPS10P21	475.0	475.0	475	RPS10_8_1322
RPL18AP17	260.0	260.0	260	
RPL21P110	518.0	518.0	518	RPL21_50_1323
RNU6-80P	107.0	107.0	107	RNU6-80
MZT1	2231.0	2231.0	2231	C13orf37,MOZART1
BORA	2802.25	2794.5	3013	C13orf34
DIS3	10526.0	10526.0	10639	2810028N01Rik,dis3p,EXOSC11,KIAA1008,RRP44
PIBF1	2753.95	2822.0	3167	C13orf24,CEP90,JBTS33,PIBF
RNU6-79P	107.0	107.0	107	RNU6-79
PSMD10P3	465.0	465.0	465	
KLF5	3150.5	3150.5	3349	BTEB2,CKLF,IKLF
FABP5P1	675.0	675.0	675	FABP5,FABP5L1
RNU6-66P	104.0	104.0	104	RNU6-66
RNU7-89P	62.0	62.0	62	
RNU4-10P	140.0	140.0	140	
RNY1P8	114.0	114.0	114	
MARK2P12	537.0	537.0	537	
LOC105377816	1230.0	1230.0	1230	
LINC00393	519.0	519.0	519	
LINC00392	366.0	366.0	366	
LOC107984024	494.0	494.0	494	
LOC105370256	3024.714285714286	3269.5	3680	
KLF12	9476.2	10368.0	10909	AP-2rep,AP2REP,HSPC122
LINC00402	3353.0	3353.0	3353	
LOC105370259	3090.6666666666665	3085.0	3388	
RNY1P5	115.0	115.0	115	
RPL21P108	447.0	447.0	447	RPL21_44_1324
LOC100288208	2328.0	2328.0	2328	
LINC00381	727.0	727.0	727	
LOC107987191	193.0	193.0	193	
LINC00347	2083.0	2083.0	2105	
LOC105370260	406.0	406.0	406	
RIOK3P1	1824.0	1824.0	1824	
LOC107984620	379.5	379.5	404	
RNU6-38P	106.0	106.0	106	RNU6-38
SSR1P2	760.0	760.0	760	
CTAGE11P	2629.0	2629.0	2629	
LINC01078	441.0	441.0	441	
TBC1D4	6318.0	6171.0	7588	AS160,NIDDM5
COMMD6	1772.0	1739.0	1875	Acrg
UCHL3	1337.125	1078.5	3284	UCH-L3
LMO7-AS1	518.0	549.0	593	UCHL3-AS1
LMO7	6282.875	6503.0	7358	FBX20,FBXO20,LMO7b,LOMP
FAM204CP	644.0	644.0	644	
LMO7DN	1169.0	1169.0	1169	C13orf45
LMO7DN-IT1	321.0	321.0	321	C13orf45-IT1,TCONS_00021569
LINC00561	2735.0	2735.0	2735	
RN7SL571P	295.0	295.0	295	
LOC105370262	457.0	457.0	457	
LOC105370261	688.0	688.0	688	
LOC105370263	195.0	195.0	195	
LOC105370264	255.0	255.0	255	
LOC105370266	1702.0	1702.0	1807	
LOC112268120	1332.0	1332.0	1332	
LOC105370265	4034.0	4316.0	5688	
LOC107984587	1597.0	1597.0	1597	
KCTD12	6231.0	6231.0	6231	C13orf2,PFET1,PFETIN
BTF3P11	640.0	640.0	640	BTF3L1,HUMBTFB,OCIF,OPG,TNFRSF11B
LOC105370269	449.5	449.5	511	
ACOD1	2147.0	2147.0	2147	CAD,IRG1
RPL7P44	825.0	825.0	825	RPL7_17_1325
DHX9P1	4228.0	4228.0	4228	DDX9P,DHX9P
CLN5	5264.5	5264.5	5286	
FBXL3	2832.75	3244.0	3506	FBL3,FBL3A,FBXL3A,IDDSFAS
MYCBP2	15067.766666666666	15147.0	15438	Myc-bp2,PAM,Phr,PHR1
MYCBP2-AS1	517.0	517.0	517	
LOC107984564	2615.0	2615.0	2615	
LOC105370271	316.0	316.0	316	
SCEL	3093.842105263158	3109.0	3194	
SCEL-AS1	510.0	510.0	570	
RNY3P7	101.0	101.0	101	
SPTLC1P5	302.0	302.0	302	
LOC100129307	1430.0	1430.0	1430	
SLAIN1	2680.777777777778	2388.0	5255	C13orf32
MIR3665	61.5	61.5	105	
LOC112268121	5321.0	5321.0	5321	
EDNRB-AS1	2445.0	2445.0	2445	
EDNRB	3892.25	4287.0	4471	ABCDS,ET-B,ET-BR,ETB,ETB1,ETBR,ETRB,HSCR,HSCR2,WS4A
RN7SL810P	276.0	276.0	276	
LINC01069	2615.0	2615.0	2615	
LINC00446	608.0	608.0	608	
OBI1-AS1	2418.0	2418.0	2418	POU4F1-AS1,RNF219-AS1
SRGNP1	451.0	451.0	451	
RNY3P3	102.0	102.0	102	
RPL31P54	352.0	352.0	352	RPL31_27_1326
ELOCP23	331.0	331.0	331	TCEB1P23
LOC780529	3498.0	3498.0	3498	
POU4F1	4539.0	4539.0	4539	brn-3A,BRN3A,Oct-T1,RDC-1
OBI1	3403.3333333333335	3384.0	3507	C13orf7,RNF219
LOC105370272	678.0	678.0	678	
RPL21P111	553.0	553.0	553	RPL21_51_1327
LINC00331	595.0	595.0	595	NCRNA00331
HSPD1P8	2388.0	2388.0	2388	HSPD1-12P
CCT5P2	1830.0	1830.0	1830	CCT5-P1
CCT5-2P	110.0	110.0	110	
LOC105370273	685.0	685.0	685	
NIPA2P5	389.0	389.0	389	
BCAS2P3	984.0	984.0	984	
RBM26	5438.575	5811.0	7664	ARRS2,C13orf10,PPP1R132,PRO1777,SE70-2,ZC3H17
RNA5SP33	98.0	98.0	98	RN5S33
RBM26-AS1	2474.0	2474.0	2474	
LOC105370274	693.0	693.0	693	
NDFIP2-AS1	431.0	431.0	431	
NDFIP2	4765.666666666667	4655.0	5047	N4WBP5A
LINC01068	636.0	636.0	636	
LINC01038	457.0	457.0	457	
LINC00382	982.0	982.0	982	TCONS_00021500
LINC01080	622.0	622.0	622	TCONS_00021856
LOC105370275	3499.0	3499.0	3499	
LOC101927238	919.0	919.0	919	
SPRY2	2407.0	2444.0	2708	hSPRY2,IGAN3
LOC105370276	4456.5	4456.5	5412	
RNU6-61P	109.0	109.0	109	RNU6-61
HNRNPA1P31	1391.0	1391.0	1391	
PWWP2AP1	1802.0	1802.0	1802	
LOC105370278	1608.6666666666667	1220.0	2502	
ARF4P4	1040.0	1040.0	1040	
LINC00377	927.0	927.0	927	TCONS_00021861
DPPA3P3	430.0	430.0	430	
LINC00564	1119.0	1119.0	1119	
RNU6-77P	91.0	91.0	91	RNU6-77
HIGD1AP2	510.0	510.0	510	
LOC105370281	215.0	215.0	215	
LOC105370282	399.0	399.0	399	
LOC105370283	430.0	430.0	430	
PTMAP5	1185.0	1185.0	1185	
LOC105370284	193.0	193.0	206	
LOC105370285	299.0	299.0	299	
GYG1P2	1739.0	1739.0	1739	
RNU6-67P	97.0	97.0	97	RNU6-67
LOC105370286	2303.2	2310.0	2418	
SLITRK1	5008.0	5008.0	5189	LRRC12,TTM
VENTXP2	536.0	536.0	536	
UBE2D3P4	437.0	437.0	437	
LOC105370287	557.0	557.0	557	
LINC00333	812.0	812.0	812	NCRNA00333
LOC105370289	434.5	434.5	436	
MTND4P1	1290.0	1290.0	1290	
MTND5P3	2101.0	2101.0	2101	
MTND6P37	159.0	159.0	159	
SNORA107	125.0	125.0	125	
LOC105370290	3353.0	3668.5	3806	
LINC00375	631.0	631.0	631	
LOC105370291	1710.0	1710.0	1710	
LOC105370292	1064.0	1064.0	1064	
LINC00351	1001.0	1001.0	1001	
RNU6-72P	106.0	106.0	106	RNU6-72
SLITRK6	4249.0	4249.0	4249	DFNMYP
MOB1AP1	615.0	615.0	615	MOBKL1BP1
DDX6P2	2226.0	2226.0	2226	
LOC105370299	1621.0	1621.0	1621	
TXNL1P1	519.0	519.0	519	
LOC105370300	551.0	551.0	551	
LINC00430	304.0	304.0	304	
LOC105370301	261.0	261.0	281	
UBBP5	414.0	414.0	414	
LOC105370302	552.5	552.5	587	
LIN28AP2	1219.0	1219.0	1219	
MIR4500HG	1675.0	1675.0	1675	
MIR4500	46.5	46.5	76	
SLITRK5	4818.0	4790.0	5217	bA364G4.2,LRRC11
LOC112268106	6783.5	6783.5	6786	
NUDT21P1	590.0	590.0	590	
LINC00397	372.0	372.0	372	
LOC105370304	1634.0	1634.0	1634	
TET1P1	3655.0	3655.0	3655	CXXC6P1
LINC00373	561.0	561.0	561	
RPL29P29	408.0	408.0	408	RPL29_18_1328
LINC00433	853.0	853.0	853	
LINC00560	1599.0	1599.0	1599	
GRPEL2P1	447.0	447.0	447	
LOC105370307	301.0	301.0	301	
LINC01047	778.0	778.0	778	
LINC00440	868.0	868.0	868	
TRIM60P13	1812.0	1812.0	1812	
SP3P	3531.0	3531.0	3531	
LOC107984621	381.6666666666667	411.0	455	
LINC01040	667.0	667.0	667	TCONS_00021682
HSPA8P2	834.0	834.0	834	
LINC00353	655.0	655.0	655	
LINC02336	1999.5	1999.5	2611	
RPL7L1P1	909.0	909.0	909	
PEX12P1	1554.0	1554.0	1554	
LINC00559	3865.0	3865.0	3865	
RNA5SP34	130.0	130.0	130	RN5S34
FAR1P1	1245.0	1245.0	1245	
KRT18P27	1407.0	1407.0	1407	
MIR622	58.5	58.5	96	hsa-mir-622,MIRN622
LOC105370310	245.0	245.0	245	
LINC01049	1003.0	1003.0	1003	
LOC107984572	458.0	458.0	458	
RNU6-75P	104.0	104.0	104	RNU6-75
LOC105370311	1010.0	1010.0	1010	
LINC00410	2018.0	2018.0	2018	
BRK1P2	209.0	209.0	209	
LINC00380	398.0	398.0	398	
LOC105370312	7847.333333333333	8895.0	8969	
LINC00379	567.0	567.0	567	
LOC105370313	182.0	182.0	182	
LOC105370314	211.0	211.0	211	
PPIAP23	737.0	737.0	737	
MIR17HG	2972.5	2972.5	5018	C13orf25,FGLDS2,LINC00048,MIHG1,miR-17-92,MIRH1,MIRHG1,NCRNA00048
MIR17	43.0	23.0	84	hsa-mir-17,miR-17,miR17-3p,MIR17-5p,MIR91,MIRN17,MIRN91,miRNA17,miRNA91
MIR18A	39.0	23.0	71	C13orf25,hsa-mir-18,hsa-mir-18a,miR-18,mir-18a,MIR17HG,MIR18,MIRH1,MIRHG1,MIRN18,MIRN18A,miRNA18A
MIR19A	42.333333333333336	23.0	82	C13orf25,hsa-mir-19a,miR-19a,MIR17HG,MIRH1,MIRHG1,MIRN19A,miRNA19A
MIR20A	38.666666666666664	23.0	71	C13orf25,hsa-mir-20,hsa-mir-20a,miR-20,mir-20a,MIR17HG,MIR20,MIRH1,MIRHG1,MIRN20,MIRN20A,miRNA20A
MIR19B1	44.333333333333336	23.0	87	C13orf25,miR-19b-1,MIR17HG,MIR19B,MIRH1,MIRHG1,MIRN19B1,miRNA19B1
MIR92A1	41.0	23.0	78	C13orf25,mir-92a-1,MIR17HG,MIR92-1,MIRH1,MIRHG1,MIRN92-1,MIRN92A-1,MIRN92A1,miRNA92-1
LOC107984617	4312.0	4312.0	4312	
GPC5	3110.4545454545455	3329.0	3715	
RNU4ATAC3P	126.0	126.0	126	
FABP5P4	379.0	379.0	379	FABP5L4
GPC5-AS2	415.0	415.0	415	
MIR548AS	34.0	22.0	58	
LOC105370315	2955.0	2955.0	3071	
GPC5-AS1	420.6666666666667	393.0	491	
LOC105370317	534.0	534.0	534	
LINC00363	311.0	311.0	311	TCONS_00021586
GPC6	7235.428571428572	5809.0	12742	OMIMD1
HNRNPA1P29	858.0	858.0	858	
GPC6-AS2	651.0	651.0	651	
RNA5SP35	129.0	129.0	129	RN5S35
GPC6-AS1	698.0	698.0	698	
DCT	4518.454545454545	4520.0	5074	TRP-2,TYRP2
TRF-GAA1-5	73.0	73.0	73	
TGDS	1816.0	1800.5	1923	CATMANS,SDR2E1,TDPGD
GPR180	8884.0	8884.0	8884	ITR
NDUFA3P5	252.0	252.0	252	
RNA5SP36	133.0	133.0	133	RN5S36
RN7SL585P	280.0	280.0	280	
LOC101927248	2381.0	2381.0	2381	
SOX21	2924.0	2924.0	2924	SOX25
SOX21-AS1	2986.0	2986.0	2986	
LOC112268114	579.0	579.0	579	
BRD7P5	2108.0	2108.0	2108	
RPL21P112	540.0	540.0	540	RPL21_45_1329
LOC101927284	2894.0	2894.0	2894	
LINC00557	1279.0	1279.0	1279	
RNU6-62P	102.0	102.0	102	RNU6-62
ABCC4	4513.0	5365.0	5996	MOAT-B,MOATB,MRP4
SNORD13G	105.0	105.0	105	
LOC102724149	1590.0	1590.0	1590	
RNY3P8	63.0	63.0	63	
